asegurado_id,anio,numero_siniestros,monto_total
1,1,2,61441.79
1,2,2,38991.98
1,3,1,7356.86
1,4,0,0.0
1,5,1,43651.77
1,6,2,23974.91
1,7,2,61834.79
1,8,2,25003.43
1,9,0,0.0
1,10,1,30838.51
2,1,1,8993.76
2,2,1,25367.99
2,3,1,30955.16
2,4,0,0.0
2,5,2,26386.03
2,6,2,31433.32
2,7,1,564.69
2,8,0,0.0
2,9,0,0.0
2,10,1,29688.41
3,1,2,29971.45
3,2,4,84988.95
3,3,2,16613.22
3,4,2,19020.37
3,5,1,42155.95
3,6,1,18023.19
3,7,0,0.0
3,8,2,33132.24
3,9,2,58699.62
3,10,1,4329.12
4,1,0,0.0
4,2,2,36901.84
4,3,1,5339.54
4,4,0,0.0
4,5,0,0.0
4,6,0,0.0
4,7,2,58530.08
4,8,0,0.0
4,9,0,0.0
4,10,3,73470.17
5,1,2,24403.17
5,2,2,44702.92
5,3,2,13056.0
5,4,4,125716.11
5,5,2,43282.79
5,6,2,41888.88
5,7,3,58189.97
5,8,5,136959.74
5,9,1,67965.32
5,10,1,2314.84
6,1,0,0.0
6,2,2,105493.92
6,3,3,68221.88
6,4,3,57697.12
6,5,3,52847.47
6,6,0,0.0
6,7,0,0.0
6,8,0,0.0
6,9,3,58685.04
6,10,1,36644.35
7,1,0,0.0
7,2,0,0.0
7,3,1,26495.33
7,4,2,33131.04
7,5,1,25473.95
7,6,0,0.0
7,7,0,0.0
7,8,0,0.0
7,9,1,30901.39
7,10,2,42547.06
8,1,2,54148.99
8,2,2,57438.25
8,3,3,57472.85
8,4,3,53001.52
8,5,1,9172.03
8,6,2,39139.26
8,7,0,0.0
8,8,0,0.0
8,9,1,10396.9
8,10,1,4090.65
9,1,3,75930.91
9,2,0,0.0
9,3,0,0.0
9,4,2,37710.89
9,5,0,0.0
9,6,1,17582.15
9,7,0,0.0
9,8,2,44549.96
9,9,2,117989.83
9,10,0,0.0
10,1,1,8661.74
10,2,3,50093.33
10,3,3,89281.48
10,4,2,31263.81
10,5,6,84916.18
10,6,2,52647.14
10,7,0,0.0
10,8,2,24298.27
10,9,1,30922.3
10,10,2,17888.79
11,1,2,31754.49
11,2,0,0.0
11,3,0,0.0
11,4,0,0.0
11,5,1,28296.77
11,6,1,13188.47
11,7,0,0.0
11,8,0,0.0
11,9,1,4161.89
11,10,2,23481.27
12,1,1,30250.64
12,2,0,0.0
12,3,1,9872.15
12,4,2,37140.79
12,5,1,45093.48
12,6,1,814.93
12,7,1,8544.67
12,8,3,115981.14
12,9,0,0.0
12,10,1,31710.84
13,1,3,29340.44
13,2,0,0.0
13,3,3,49291.63
13,4,3,37911.97
13,5,3,44169.62
13,6,0,0.0
13,7,3,70736.7
13,8,3,80424.69
13,9,3,71027.94
13,10,2,65934.78
14,1,2,40160.52
14,2,4,81519.49
14,3,1,39413.99
14,4,2,34154.33
14,5,1,54533.75
14,6,2,98497.68
14,7,6,169979.15
14,8,0,0.0
14,9,2,9848.45
14,10,1,12696.68
15,1,1,16580.92
15,2,4,112503.64
15,3,2,82799.06
15,4,3,39861.19
15,5,2,56350.25
15,6,1,39061.7
15,7,0,0.0
15,8,1,23998.69
15,9,1,6431.79
15,10,4,64949.49
16,1,0,0.0
16,2,1,34208.55
16,3,1,1648.31
16,4,2,82186.01
16,5,1,16270.18
16,6,2,33373.78
16,7,0,0.0
16,8,0,0.0
16,9,0,0.0
16,10,1,3239.12
17,1,2,93836.79
17,2,2,26837.42
17,3,0,0.0
17,4,1,3718.29
17,5,2,32218.88
17,6,1,19168.58
17,7,1,76377.65
17,8,1,15457.04
17,9,3,64035.88
17,10,0,0.0
18,1,1,15724.08
18,2,1,26032.22
18,3,2,37714.37
18,4,2,42345.26
18,5,1,6243.44
18,6,2,45645.97
18,7,0,0.0
18,8,1,30931.15
18,9,0,0.0
18,10,1,13518.83
19,1,2,51161.11
19,2,0,0.0
19,3,1,17751.68
19,4,4,90212.23
19,5,1,2711.84
19,6,1,2092.43
19,7,1,5433.64
19,8,0,0.0
19,9,3,64883.1
19,10,1,9846.89
20,1,1,12295.92
20,2,1,5643.13
20,3,0,0.0
20,4,0,0.0
20,5,2,22087.07
20,6,3,39066.72
20,7,0,0.0
20,8,1,52227.1
20,9,1,37579.14
20,10,2,47014.6
21,1,6,103745.78
21,2,3,92360.91
21,3,2,31600.04
21,4,2,29466.68
21,5,0,0.0
21,6,0,0.0
21,7,2,33976.53
21,8,1,26521.25
21,9,0,0.0
21,10,2,46895.2
22,1,1,9234.93
22,2,1,5168.13
22,3,2,70691.62
22,4,2,47177.71
22,5,1,27597.74
22,6,1,16153.59
22,7,1,4178.88
22,8,0,0.0
22,9,1,14531.11
22,10,1,9267.62
23,1,0,0.0
23,2,1,23644.78
23,3,1,70885.12
23,4,1,16376.56
23,5,1,13427.43
